participantID,gender,maritalStatus,age,housing,townType,governorate,employment ,workLocation,education,beforeIncome,afterIncome,haveGarden,timeInGardenYN,whyNoTimeInGarden,aloneInGarden,familyInGarden,kidsInGarden,neighborsInGarden,friendsInGarden,afterGardenRelaxing,afterGardenExercising,afterGardenGardening,afterGardenOrchard,afterGardenOrnamentals,afterGardenLandscaping,afterGardenLivestock,afterGardenBirdPhotography,afterGardenHarvesting,visitGreenspace,whyNoVisitGreenspace,aloneGreenspace,familyGreenspace,kidsGreenspace,neighborsGreenspace,friendsGreenspace,walkingGreenspace,bicyclingGreenspace,carGreenspace,busGreenspace,taxiGreenspace,distanceGreenspace_under0.5,distanceGreenspace_0.5to1,distanceGreenspace_1to2,distanceGreenspace_over2,afterGreenspaceExercise,afterGreenspaceRelaxing,afterGreenspaceBirdPhotography,afterGreenspaceHarvesting,visitNatural,whyNoVisitNatural,aloneNatural,familyNatural,kidsNatural,neighborsNatural,friendsNatural,walkingNatural,bicyclingNatural,carNatural,busNatural,taxiNatural,distanceNatural_under0.5,distanceNatural_0.5to1,distanceNatural_1to2,distanceNatural_2to4,distanceNatural_over4,afterNaturalExercise,afterNaturalRelaxing,afterNaturalBirdPhotography,afterNaturalScenery,afterNaturalHarvesting,afterNaturalGathering,afterNaturalHistoric,afterNaturalCamping,afterNaturalLandscaping,afterNaturalCultivation,afterNaturalOrchard,afterNaturalLivestock
10,Male,Married, 56 - 65,House,City,Nablus,Freelancer,Inside the West Bank,Master,"More than 8,000 NIS",Decreased,Yes,Yes,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",About the same,Much more often,About the same,About the same,About the same,About the same,I don't do this activity,About the same,I don't do this activity,No,Not one of my interests,,,,,,,,,,,,,,,,,,,Yes,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,,,,,"Before the pandemic, After the pandemic occurred",I don't do this activity,I don't do this activity,I don't do this activity,About the same,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,
11,Male,Married, 26 - 35,House,Town,Nablus,Private Sector Employee,Inside the West Bank,Bachelor,"4,001 - 6,000 NIS",The same,Yes,Yes,,,,"Before the pandemic, After the pandemic occurred",,,About the same,About the same,More often,I don't do this activity,More often,More often,I don't do this activity,I don't do this activity,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,Before the pandemic,"Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,,After the pandemic occurred,,Before the pandemic,Less often,Less often,I don't do this activity,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,,,,,"Before the pandemic, After the pandemic occurred",About the same,Less often,Much less,More often,I don't do this activity,I don't do this activity,Less often,I don't do this activity,I don't do this activity,I don't do this activity,More often,I don't do this activity
12,Male,Married, 26 - 35,Apartment,City,Hebron,NGO Employee,Inside the West Bank,Bachelor,"4,001 - 6,000 NIS",Decreased,Yes,Yes,,Before the pandemic,"Before the pandemic, After the pandemic occurred",After the pandemic occurred,After the pandemic occurred,Before the pandemic,More often,More often,More often,More often,More often,More often,I don't do this activity,I don't do this activity,I don't do this activity,No,Lockdown and COVID-19 pandemic,,,,,,,,,,,,,,,,,,,Yes,,,,,,Before the pandemic,,,"Before the pandemic, After the pandemic occurred",,,,,,,,I don't do this activity,Less often,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,Much less,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
13,Female,Single,18 - 25,House,Village,Nablus,Student,Inside the West Bank,Bachelor,I have no income,I have no income,Yes,No,Because of the noise,,,,,,,,,,,,,,,Yes,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",Before the pandemic,Before the pandemic,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",Less often,Less often,I don't do this activity,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,Much less,Less often,Less often,About the same,I don't do this activity,About the same,Less often,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
14,Female,Single,18 - 25,Apartment,City,Nablus,Student,Inside the West Bank,Bachelor,I have no income,I have no income,No,,,,,,,,,,,,,,,,,Yes,,,"Before the pandemic, After the pandemic occurred",,,Before the pandemic,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",Much less,Much less,Much less,I don't do this activity,No,Mainly because of checkpoints and occupation restrictions,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Female,Single,18 - 25,Apartment,City,Nablus,Student,Inside the West Bank,Bachelor,I have no income,I have no income,No,,,,,,,,,,,,,,,,,Yes,,,"Before the pandemic, After the pandemic occurred",Before the pandemic,Before the pandemic,Before the pandemic,,,"Before the pandemic, After the pandemic occurred",,,,,Before the pandemic,,I don't do this activity,Less often,Less often,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",Before the pandemic,Before the pandemic,Before the pandemic,,,"Before the pandemic, After the pandemic occurred",,,,,,Before the pandemic,,I don't do this activity,Less often,I don't do this activity,Less often,I don't do this activity,I don't do this activity,Less often,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
16,Female,Married, 26 - 35,Apartment,Town,Salfit,Unemployed,Inside the West Bank,Bachelor,I have no income,I have no income,No,,,,,,,,,,,,,,,,,No,Because of lack of time,,,,,,,,,,,,,,,,,,,Yes,,,,,,After the pandemic occurred,Before the pandemic,,,,,Before the pandemic,,,,,I don't do this activity,Much less,More often,Less often,Less often,Much more often,Much more often,Less often,About the same,More often,Less often,
17,Female,Single,18 - 25,House,City,Nablus,Student,,Bachelor,I have no income,I have no income,Yes,Yes,,,"Before the pandemic, After the pandemic occurred",,,,More often,More often,More often,About the same,More often,More often,More often,More often,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,,,,,Less often,Less often,More often,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,,,,,,More often,More often,More often,I don't do this activity,I don't do this activity,More often,Less often,I don't do this activity,I don't do this activity,More often,I don't do this activity,I don't do this activity
18,Female,Single,18 - 25,House,Village,Jenin,Student,Inside the West Bank,Bachelor,I have no income,I have no income,No,,,,,,,,,,,,,,,,,Yes,,,Before the pandemic,,,,After the pandemic occurred,,Before the pandemic,,,Before the pandemic,,,,Much more often,Much more often,Much more often,Less often,Yes,,,Before the pandemic,,,,After the pandemic occurred,,,,,Before the pandemic,,,,,Much more often,More often,Much more often,Much less,I don't do this activity,Much more often,More often,I don't do this activity,Much more often,Much more often,Much more often,Much more often
19,Female,Single,18 - 25,House,Village,Salfit,Unemployed,Inside the West Bank,Highschool or Less,I have no income,I have no income,Yes,Yes,,Before the pandemic,,,,,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,,I don't do this activity,No,Not one of my interests,,,,,,,,,,,,,,,,,,,No,Not one of my interests,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Female,Single,18 - 25,House,Village,Nablus,Student,,Bachelor,I have no income,I have no income,Yes,No,Because of lack of privacy,,,,,,,,,,,,,,,Yes,,Before the pandemic,"Before the pandemic, After the pandemic occurred",Before the pandemic,After the pandemic occurred,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",Much more often,Less often,Less often,Less often,Yes,,,"Before the pandemic, After the pandemic occurred",Before the pandemic,After the pandemic occurred,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",Much more often,About the same,Less often,About the same,I don't do this activity,Less often,About the same,I don't do this activity,I don't do this activity,Less often,Less often,I don't do this activity
21,Female,Single,18 - 25,House,Village,Jenin,Student,Inside the Greenline,Bachelor,,,No,,,,,,,,,,,,,,,,,Yes,,Before the pandemic,After the pandemic occurred,After the pandemic occurred,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,After the pandemic occurred,Before the pandemic,After the pandemic occurred,Before the pandemic,After the pandemic occurred,"Before the pandemic, After the pandemic occurred",Before the pandemic,Much more often,Much more often,Much more often,I don't do this activity,Yes,,Before the pandemic,"Before the pandemic, After the pandemic occurred",After the pandemic occurred,After the pandemic occurred,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,Much more often,Much more often,Much more often,More often,I don't do this activity,About the same,More often,I don't do this activity,Much more often,Much more often,Much more often,I don't do this activity
22,Female,Single,18 - 25,House,Town,Nablus,Student,,Bachelor,I have no income,I have no income,Yes,Yes,,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Less often,More often,Much more often,About the same,Much more often,Much more often,Much more often,Much more often,I don't do this activity,No,Because of the noise,,,,,,,,,,,,,,,,,,,Yes,,,"Before the pandemic, After the pandemic occurred",After the pandemic occurred,Before the pandemic,Before the pandemic,"Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",Much more often,More often,More often,Much more often,I don't do this activity,More often,More often,I don't do this activity,I don't do this activity,About the same,More often,I don't do this activity
23,Female,Single,18 - 25,House,Village,Nablus,Student,Inside the West Bank,Bachelor,I have no income,I have no income,Yes,Yes,,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Less often,Much more often,Much more often,Much more often,Much more often,Much more often,Much more often,Much more often,I don't do this activity,Yes,,After the pandemic occurred,"Before the pandemic, After the pandemic occurred",Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,,After the pandemic occurred,After the pandemic occurred,After the pandemic occurred,,,After the pandemic occurred,,Much more often,Less often,Much more often,I don't do this activity,Yes,,After the pandemic occurred,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,After the pandemic occurred,,After the pandemic occurred,,,,,After the pandemic occurred,,,Much more often,Less often,Much more often,About the same,I don't do this activity,More often,More often,I don't do this activity,I don't do this activity,I don't do this activity,Much more often,I don't do this activity
24,Female,Married, 26 - 35,Apartment,Village,Salfit,Unemployed,,Bachelor,"4,001 - 6,000 NIS",Decreased,No,,,,,,,,,,,,,,,,,No,Lockdown and COVID-19 pandemic,,,,,,,,,,,,,,,,,,,Yes,,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,After the pandemic occurred,Before the pandemic,Before the pandemic,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,I don't do this activity,Less often,I don't do this activity,Much more often,I don't do this activity,I don't do this activity,Much more often,I don't do this activity,I don't do this activity,I don't do this activity,Much less,I don't do this activity
25,Female,Single,Less than 18,House,Village,Salfit,Student,,Highschool or Less,I have no income,I have no income,Yes,Yes,,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Much more often,About the same,Much less,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,Much less,Yes,,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,,Before the pandemic,,,Before the pandemic,,,,More often,I don't do this activity,I don't do this activity,I don't do this activity,Yes,,,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,,,,,Before the pandemic,,,,,I don't do this activity,I don't do this activity,I don't do this activity,Less often,More often,More often,Much less,More often,Much less,Less often,Less often,About the same
26,Female,Married,36 - 45,Apartment,City,Nablus,Unemployed,,Highschool or Less,I prefer not to answer,Severely decreased,No,,,,,,,,,,,,,,,,,No,Because of lack of time,,,,,,,,,,,,,,,,,,,No,Because of lack of time,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Male,Single,18 - 25,House,Village,Jenin,Student,Inside the Greenline,Bachelor,"2,001 - 4,000 NIS",Decreased,Yes,Yes,,Before the pandemic,Before the pandemic,,Before the pandemic,After the pandemic occurred,About the same,About the same,Less often,About the same,About the same,Less often,Less often,More often,About the same,Yes,,Before the pandemic,After the pandemic occurred,Before the pandemic,After the pandemic occurred,Before the pandemic,Before the pandemic,After the pandemic occurred,Before the pandemic,After the pandemic occurred,Before the pandemic,Before the pandemic,After the pandemic occurred,Before the pandemic,After the pandemic occurred,About the same,About the same,Less often,About the same,Yes,,After the pandemic occurred,Before the pandemic,After the pandemic occurred,After the pandemic occurred,Before the pandemic,Before the pandemic,After the pandemic occurred,Before the pandemic,After the pandemic occurred,Before the pandemic,Before the pandemic,After the pandemic occurred,After the pandemic occurred,Before the pandemic,After the pandemic occurred,About the same,About the same,About the same,More often,More often,More often,More often,More often,More often,More often,More often,More often
28,Female,Married,36 - 45,House,City,Nablus,Unemployed,,Highschool or Less,I have no income,I have no income,No,,,,,,,,,,,,,,,,,,Not one of my interests,,,,,,,,,,,,,,,,,,,No,Mainly for economic reasons,,,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",,,,I don't do this activity,Much less,Much less,Much less,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
29,Female,Single,18 - 25,House,City,Jenin,Private Sector Employee,Inside the West Bank,Bachelor,"Less than 2,000 NIS",Decreased,Yes,Yes,,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,After the pandemic occurred,Much more often,Much less,Less often,Much less,Much less,I don't do this activity,I don't do this activity,More often,I don't do this activity,Yes,,After the pandemic occurred,After the pandemic occurred,After the pandemic occurred,After the pandemic occurred,After the pandemic occurred,,,Before the pandemic,,,Before the pandemic,,,,Less often,I don't do this activity,About the same,I don't do this activity,Yes,,,Before the pandemic,,,,,,Before the pandemic,,,Before the pandemic,,,,,I don't do this activity,I don't do this activity,Much less,About the same,Less often,I don't do this activity,Less often,Less often,About the same,Less often,I don't do this activity,I don't do this activity
